title,artist
Y.M.C.A.,Village People
All Night Long (All Night),Lionel Richie
Everybody Wants to Rule the World,Tears For Fears
La Isla Bonita,Madonna
Another Love,Tom Odell
Smooth Operator,Sade
Time After Time,Cyndi Lauper
Part of Your World,The Little Mermaid (1989 film)
Let It Go,Frozen (2013 film) (Idina Menzel)
Basket Case,Green Day
Sweet Dreams (Are Made of),Eurythmics
Since U Been Gone,Kelly Clarkson
Money, Money, Money,ABBA
Teenage Dirtbag,Wheatus
Unwritten,Natasha Bedingfield
I Don't Want to Miss a Thing,Aerosmith
Before He Cheats,Carrie Underwood
Let It Be,The Beatles
We Will Rock You,Queen
Set Fire to the Rain,Adele
Always on My Mind,Elvis Presley
Mamma Mia,ABBA
Lemon Tree,Fool's Garden
Wannabe,Spice Girls
We Are the World,USA For Africa
Mr. Brightside,The Killers
The Scientist,Coldplay
How You Remind Me,Nickelback
You're Still The One,Shania Twain
Iris,Goo Goo Dolls (City of Angels)
If I Ain't Got You,Alicia Keys
Diamonds,Rihanna
All of Me,John Legend
Kingston Town,UB40
Bad Romance,Lady Gaga
Tik Tok,Kesha
Single Ladies (Put a Ring on...),Beyoncé
Rehab,Amy Winehouse
Father and Son,Cat Stevens
What's Up?,4 Non Blondes
New York, New York,Frank Sinatra
Zombie,The Cranberries
The Best,Tina Turner
Super Trouper,ABBA
Firework,Katy Perry
The Winner Takes It All,ABBA
Man! I Feel Like a Woman!,Shania Twain
Footloose,Footloose (1984 film)
Bohemian Rhapsody,Queen
Daddy Cool,Boney M.
Don't You (Forget About Me),Simple Minds
Easy (Like Sunday Morning),Commodores
Poker Face,Lady Gaga
Always on My Mind,Willie Nelson
Wrecking Ball,Miley Cyrus
Mustang Sally,The Commitments
Piano Man,Billy Joel
Highway to Hell,AC / DC
Rasputin,Boney M.
Stuck in the Middle with You,Stealers Wheel
If Tomorrow Never Comes,Garth Brooks
(Everything I Do) I Do It for You,Bryan Adams
Africa,Toto
In The End,Linkin Park
Kryptonite,3 Doors Down
