Song,Artist
(Olivia) Lost and Turned Out,The Whispers
Everything Must Change,George Benson
Be My Baby,Michael Bublé
(Don't Fear) The Reaper,Blue Oyster Cult
Dance Hall Days,Wang Chung
Build My Mansion (Next Door),Gene Watson & The Isaacs
Gold,John Stewart
Reptilia,The Strokes
How Do You Talk to an Angel,The Heights (Jamie Walters)
Ferry Cross The Mersey,Gerry & The Pacemakers
Water to New Orleans,Tab Benoit
Under the Influence,Chris Brown
Julie, Do Ya Love Me,Bobby Sherman
Natural Mystic,Bob Marley
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland
In This Life,Collin Raye
Doctor Doctor,UFO
My Next Broken Heart,Brooks & Dunn
Badfish,Sublime
I Want You Back,NSYNC
Groove Me,King Floyd
Good Time Charlie's Got the Blues,Danny O'Keefe
I Couldn't Leave You If I Tried,Rodney Crowell
Soul Deep,The Box Tops
Sweet Little Sixteen,Chuck Berry
Backside of Thirty,John Conlee
Tu cárcel,Los Bukis
Touch of Grey,Grateful Dead
Mountain Music,Alabama
Only You (And You Alone),The Platters
Does Fort Worth Ever Cross Your Mind,George Strait
(What's So Funny 'Bout) Peace, Love and Understanding,Elvis Costello
Follow Me,Uncle Kracker
Whiskey River,Willie Nelson
I Got a Problem,Drake Milligan
Crimson and Clover,Tommy James and The Shondells
HUMBLE.,Kendrick Lamar
Seasons (Waiting On You),Future Islands
Mystify,INXS
Let's Dance,David Bowie
Why Don't You Believe Me,The Duprees
Somewhere Between,Merle Haggard
These Arms of Mine,Otis Redding
One Particular Harbour,Jimmy Buffett
I Saw the Light,Todd Rundgren
Hitchin' a Ride,Vanity Fare
Nobody Knows,Kevin Sharp
Poetry in Motion,Johnny Tillotson
Him,Rupert Holmes
Ridin' the Storm Out,REO Speedwagon
Memories,Sugarcult
Big Bottom,Spinal Tap
Space Age Love Song,A Flock Of Seagulls
Walk on the Ocean,Toad the Wet Sprocket
Creep (acoustic - live MTV unplugged),Stone Temple Pilots
Only a Memory,The Smithereens
Place I've Never Been,Mark Wills
I Wouldn't Change You If I Could,Ricky Skaggs
Silent Morning,Noel
Just a Song Before I Go,Crosby, Stills & Nash
The Rose,Westlife
The Anchor Holds,Ray Boltz
Because,The Dave Clark Five
Policy of Truth,Depeche Mode
Bloodstains,Agent Orange
San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie
I Wish You Could Have Turned My Head,The Oak Ridge Boys
A Well Respected Man,The Kinks
Nowhere Man,The Beatles
What Might Have Been,Little Texas
Lonely People,America
Someday,The Strokes
Baby Blue,Badfinger
Picture in a Frame,Moe Bandy
Don't Look Back,Boston
This Night Won't Last Forever,Michael Johnson
Won't Let Me Wait,Major Harris
Bad Is Bad,The Huey Lewis & The News
The Guitar Man,Bread
Give Me Love (Give Me Peace on Earth),George Harrison
I Still Believe,Tim Cappello (The Lost Boys)
Alberta (live Acoustic version),Eric Clapton
Send Me Pain Below,Charice
The Most Beautiful Girl,Charlie Rich
What Becomes of the Brokenhearted,Jimmy Ruffin
Sy and By,Czamp
Hello,Lionel Richie
Singing in the Rain,Gene Kelly
Tougher Than the Rest,Bruce Springsteen
Walk On By,Leroy Van Dyke
A Teenager in Love,Dion & The Belmonts
Lawyers, Guns and Money,Warren Zevon
Dancing in the Sky,Sam Barber
Orange Juice,Mike Doughty
He Is Not Worth Missing,Toby Keith
I'm So Lonesome I Could Cry,B.J. Thomas
It's Not for Me to Say,Johnny Mathis
A Love Song,Kenny Rogers & Messina
Shine with the Glory of Love,Say Anything
Ya supérame,Grupo Firme
Will the Lord Remember Me,The Crist Family
Follow You Follow Me,Genesis
Virginia,Whiskey Myers
Silent Night (with the Royal Philharmonic Orchestra),Elvis Presley
El Shaddai,Amy Grant
Drown,The Smashing Pumpkins (Single version)
Rak It In,Billy Ray Craddock
Bad Luck,Each Top
Always,Daniel Caesar
Little Dark Age,MGMT
Since I Met You Baby,Ivory Joe Hunter
You Can Leave Your Hat On,Joe Cocker
Drunk Driving,Koe Wetzel
Polly,Nirvana
Do You Hear What I Hear?,Anne Murray
Nice to Be with You,Gallery
It Makes No Difference,The Band
Kicks,Paul Revere & The Raiders
I Can't Even Walk (Without You By My Side),Cody Johnson
Cowboys Don't Cry,Paul Brandt
Love Will Tear Us Apart,Joy Division
This Charming Man,The Smiths
The Weary Kind (Crazy Heart),Ryan Bingham
Jamestown Ferry,Charley Crockett
La Vie En Rose,Louis Armstrong
He Will Break Your Heart,Larry Hall
Am I Losing You,Jim Reeves
Empty Glass,Gary Stewart
I Can't Help It (If I'm Still in Love with You),Hank Williams, Sr
Out in the Country,Three Dog Night
So in to You,Atlanta Rhythm Section
Rocking Chair,Cameron Whitcomb
Come Get to This,Marvin Gaye
Sea of Love,The Honeydrippers
Singing the Blues,Marty Robbins
My House,Flo Rida
Desert Skies,The Marshall Tucker Band
The Wizard,Black Sabbath
I Never Go Around Mirrors,Luther Vandross
Undercover Martyn,Two Door Cinema Club
This Land Is Your Land,Pete Seeger
One Thing,Finger Eleven
Dead Sears,Brian McKnight
Theme from Rocky (Gonna,Bill Conti)
Lovesong,The Cure
Hessa Come Home for Christmas,Ricky Van Shelton
Lady,Styx
Smoke,Thousand Horses
John the Fisherman,Primus
Love Letters in the Sand,Pat Boone
No Shoes, No Shirt, No Problems,Kenny Chesney
When You're Smiling (The Whole World Smiles With You),1920s Standards
New Orleans Ladies,Tab Benoit & Jimmy Hall & LeRoux
Garden Party,Rick Nelson
Smile Like You Mean It,The Killers
Zanzibar,Billy Joel
Fuck You Bitch,Frank Zappa Jr.
Call Me the Breeze,Lynyrd Skynyrd
Colorblind,Counting Crows
Here I Am to Worship,Tim Hughes
Crystal,Fleetwood Mac
Mercy Walked in,Gordon Mote
Paint Me a Birmingham,Tracy Lawrence
You Wreck Me,Tom Petty
When Will I Be Loved,The Everly Brothers
We Just Disagree,Dave Mason
Room Full of Roses,Mickey Gilley
Grow Old With You,The Wedding Singer (1998 film)
Don't Take Her She's All I Got,Freddy Fender
Forest Gump,Frank Ocean
Memories Are Made of This,Dean Martin
Word of God Speak,MercyMe
Carolina in My Mind,James Taylor
You Don't Love Me (No, No, No),Dawn Penn
Walk Through This World With Me,George Jones
Freaks,Surf Curse
Diggin' on James Brown,Tower of Power
That's My Job,Conway Twitty
Girl You Got It,T-Pain
Lessons in Love,Level 42
If You're Gonna Do Me Wrong (Do It Right),Vern Gosdin
What I'll Say,John Dory Conley
Don't Take the Girl,Tim McGraw
Miserable,Lit
Achy Breaky Heart,Billy Ray Cyrus
Too Sky,Kalagaqgoq
Guiding Lights,Ghost (band)
Bizarre Love Triangle,New Order
Dead Sears,Nine Inch Nails (The Crow)
Cradle of Love,Billy Idol
Everyone Else Is an Asshole,Reel Big Fish
Crying Time,Ray Charles & His Buckaroos
(Shake, Shake, Shake) Shake Your Booty,KC & The Sunshine Band
Jolene,Ray LaMontagne
Rock On,David Essex
Operator (That's Not The Way It Feels),Jim Croce
Seagull,Bad Company
Walking Away,Jenny Lang
You're The First, The Last, My Everything,Barry White
Please Come Home for Christmas,Josh Groban
The Underdog,Spoon
The Sun Is Shining Down,JJ Grey & Mofro
Sanctuary,Joji
The Night Has a Thousand Eyes,Bobby Vee
Saved By Zero,The Fixx
It Never Rains in Southern California,Albert Hammond
